"AnonSiteCode","catchment_area_km","N","FIS","Ho.adj","Ho.adjSD","He.adj","He.adjSD","PI_NEI","Private_Alleles","Host"
"EI1",1852,6,-0.009,0.267,0.252,0.239,0.186,0.12,1012,"Salmon"
"ER1",1177,6,0.262,0.119,0.182,0.147,0.189,0.073,1967,"Unknown"
"ES1",583,6,0.178,0.171,0.203,0.19,0.189,0.095,1467,"Unknown"
"NE1",1622,2,0.046,0.248,0.324,0.194,0.21,0.097,1834,"Unknown"
"OH1",303,2,-0.047,0.05,0.186,0.035,0.117,0.017,3161,"Unknown"
"WI1",983,15,0.136,0.143,0.181,0.16,0.187,0.08,1698,"Only trout available"
"WI2",983,13,0.189,0.139,0.178,0.165,0.19,0.083,1675,"Only trout available"
"WI3",983,12,0.154,0.216,0.178,0.244,0.17,0.122,576,"Salmon"
"WI4",983,9,0.165,0.14,0.192,0.158,0.191,0.079,1825,"Only trout available"
"WR1",622,10,0.191,0.212,0.18,0.248,0.174,0.124,649,"Salmon"
"WR2",1477,9,0.152,0.161,0.177,0.179,0.173,0.09,1223,"Trout"
"WR3",1477,15,0.247,0.156,0.152,0.199,0.171,0.1,839,"Trout"
"WR4",1477,11,0.167,0.095,0.162,0.108,0.169,0.054,2229,"Trout"
"WS1",1477,8,0.044,0.078,0.173,0.076,0.154,0.038,2683,"Only trout available"
"WS2",1477,10,0.049,0.175,0.209,0.174,0.187,0.087,1529,"Only trout available"
"WS3",141,8,0.177,0.115,0.185,0.131,0.183,0.066,2099,"Only trout available"
"WS4",118,8,0.092,0.104,0.183,0.107,0.168,0.054,2271,"Trout"
"WS5",118,6,0.084,0.249,0.226,0.247,0.182,0.124,912,"Unknown"
