"pop1","pop2","N1","N2","fixed","priv1","priv2","totalpriv","AFD"
"EI1","Rest",6,150,0,0,1012,1012,0.127
"ER1","Rest",6,150,1,3,1964,1967,0.145
"ES1","Rest",6,150,0,0,1467,1467,0.128
"NE1","Rest",2,154,0,0,1834,1834,0.174
"OH1","Rest",2,154,0,0,3161,3161,0.206
"WI1","Rest",15,141,0,1,1697,1698,0.136
"WI2","Rest",13,143,0,0,1675,1675,0.133
"WI3","Rest",12,144,0,1,575,576,0.102
"WI4","Rest",9,147,0,0,1825,1825,0.134
"WR1","Rest",10,146,0,0,649,649,0.117
"WR2","Rest",9,147,0,0,1223,1223,0.101
"WR3","Rest",15,141,0,2,837,839,0.089
"WR4","Rest",11,145,0,8,2221,2229,0.153
"WS1","Rest",8,148,4,10,2673,2683,0.188
"WS2","Rest",10,146,0,3,1526,1529,0.128
"WS3","Rest",8,148,0,5,2094,2099,0.15
"WS4","Rest",8,148,0,7,2264,2271,0.15
"WS5","Rest",6,150,0,0,912,912,0.128
