"SNP","Query_ID","Subject_ID","Description","E_value","p_values","predictor","correlation","Database","Proximity"
"scaf1227_1036742_T","scaf1227_1036742_T::JAQPZY010001227.1:1036241-1037242","gi|2669151899|ref|XM_062753214.1|","PREDICTED: Saccostrea cucullata histone-lysine N-methyltransferase SETMAR-like (LOC134270944), mRNA","1.817e-11",0.0003773,"Catchment Area",0.273,"Molluscan","500bp"
"scaf1666_676460_A","scaf1666_676460_A::JAQPZY010001666.1:675959-676960","gi|333906199|gb|JF412718.1|","Hyriopsis cumingii selenium-dependent glutathione peroxidase (Se-GPX) gene, complete cds","1.337e-47",6.972e-05,"Altitude",0.527,"Molluscan","500bp"
"scaf1666_7864421_T","scaf1666_7864421_T::JAQPZY010001666.1:7863920-7864921","gi|1199278592|gb|KX824065.1|","Sinohyriopsis cumingii beta-arrestin 2 mRNA, complete cds","1.766e-31",2.054e-11,"BIO5",0.428,"Molluscan","500bp"
"scaf1582_2585350_A","scaf1582_2585350_A::JAQPZY010001582.1:2584849-2585850","gi|595094254|gb|KF997091.1|","Cristaria plicata heat shock protein 90 gene, complete cds","1.395e-17",0.0001872,"BIO3",0.253,"Molluscan","500bp"
"scaf1264_1189805_A","scaf1264_1189805_A::JAQPZY010001264.1:1189304-1190305","gi|2739719310|ref|XM_008164907.4|","PREDICTED: Chrysemys picta bellii leucine rich repeat containing 74A (LRRC74A), mRNA","1.218e-164",4.569e-05,"BIO3",0.298,"Full","500bp"
"scaf1279_1348607_C","scaf1279_1348607_C::JAQPZY010001279.1:1348106-1349107","gi|2580404678|ref|XR_009463094.1|","PREDICTED: Alligator mississippiensis uncharacterized LOC132251199 (LOC132251199), ncRNA","3.484e-145",6.844e-13,"BIO3",0.313,"Full","500bp"
"scaf1646_2912875_G","scaf1646_2912875_G::JAQPZY010001646.1:2912374-2913375","gi|2739719310|ref|XM_008164907.4|","PREDICTED: Chrysemys picta bellii leucine rich repeat containing 74A (LRRC74A), mRNA","8.327e-72",0.0005896,"Altitude",0.477,"Full","500bp"
"scaf1554_3485386_C","scaf1554_3485386_C::JAQPZY010001554.1:3485285-3485486","gi|2427456052|ref|XM_052936480.1|","PREDICTED: Mya arenaria tubulin beta-4B chain-like (LOC128226545), transcript variant X2, mRNA","1.448e-25",5.249e-08,"BIO3",0.332,"Molluscan","100bp"
"scaf1554_3485425_T","scaf1554_3485425_T::JAQPZY010001554.1:3485324-3485525","gi|2427456052|ref|XM_052936480.1|","PREDICTED: Mya arenaria tubulin beta-4B chain-like (LOC128226545), transcript variant X2, mRNA","3.090e-32",5.249e-08,"BIO3",0.332,"Molluscan","100bp"
"scaf1457_2574556_C","scaf1457_2574556_C::JAQPZY010001457.1:2574055-2575056","gi|2506331227|ref|XM_050551096.2|","PREDICTED: Patella vulgata ETS translocation variant 1 (LOC126822296), mRNA","6.352e-31",0.001566,"Elevation Range",0.222,"Molluscan","500bp"
"scaf1119_375430_G","scaf1119_375430_G::JAQPZY010001119.1:374429-376430","gi|2960424137|ref|XM_073375497.1|","PREDICTED: Porites lutea uncharacterized protein (LOC140925564), mRNA","1.817e-11",0.00216,"BIO17",0.173,"Full","1000bp"
"scaf0933_662787_C","scaf0933_662787_C::JAQPZY010000933.1:662286-663287","gi|2263229029|ref|XR_007354850.1|","PREDICTED: Caretta caretta uncharacterized LOC125630991 (LOC125630991), ncRNA","1.496e-19",0.001726,"BIO3",0.384,"Full","500bp"
"scaf1260_20211_T","scaf1260_20211_T::JAQPZY010001260.1:19710-20711","gi|3018996564|ref|XR_004376704.2|","PREDICTED: Chelonoidis abingdonii uncharacterized LOC116837482 (LOC116837482), ncRNA","1.307e-114",0.0001803,"BIO3",0.471,"Full","500bp"
"scaf1508_3148850_G","scaf1508_3148850_G::JAQPZY010001508.1:3147849-3149850","gi|871214176|ref|XM_013079188.1|","PREDICTED: Aplysia californica trypsin-7 (LOC101855546), mRNA","3.660e-31",1.981e-06,"BIO5",0.256,"Molluscan","1000bp"
"scaf1508_3148961_T","scaf1508_3148961_T::JAQPZY010001508.1:3148860-3149061","gi|2580385100|ref|XR_002087217.2|","PREDICTED: Alligator mississippiensis uncharacterized LOC109280798 (LOC109280798), ncRNA","6.927e-41",5.68e-07,"BIO5",0.255,"Full","100bp"
